"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BB2CURGI","journalArticle","2021","Singh, Shashank; Singh, Shailendra","HINDIA: a deep-learning-based model for spell-checking of Hindi language","Neural Computing and Applications","","09410643","10.1007/s00521-020-05207-9","","The spelling error is a mistake occurred while typing the text document. The applications like search engines, information retrieval, emails, etc., require user typing. In such applications, good spell-checker is essential to rectify the misspelling. Spell-checkers for western languages like English are very powerful and can handle any type of spelling errors, whereas in the case of Indian languages like Hindi, Urdu, Bengali, Kannada, Assamese, etc., the available spell-checkers are very basic ones. These spell-checkers are developed using traditional methods like statistical methods and rule-based methods. This article presents a novel model HINDIA to handle the spelling errors of the Hindi language, one of the most spoken languages in India. It utilizes a deep-learning method for spelling error detection and correction. The proposed spell-checking model works in two phases. In the first phase model identifies the erroneous words in the input sample and in the second phase it replaces the wrong words with the most probable correct words. Model HINDIA is developed using the attention-based encoderdecoder bidirectional recurrent neural network (BiRNN) which uses long short-term memory cells. Several modifications in the BiRNN have been made and network is fine-tuned to process the spelling errors of Hindi language. It uses publicly available dataset monolingual corpus developed by IIT Mumbai for training and testing. The performance of the proposed model is evaluated in two scenarios. In the first scenario where the testing dataset is generated using split function. HINDIA performs significantly well with precision 0.86, recall 0.72, f-measure 0.78 and accuracy 0.80. Further, in the second scenario, where a dataset is manually generated its performance is fairly good with precision 0.81, recall 0.72, f-measure 0.76 and accuracy 0.74. Model HINDIA gives better performance than the deep-learning-based Malayalam spell-checker and some other deep-learning-based correction models present in the literature.  2020, Springer-Verlag London Ltd., part of Springer Nature.","2021","2022-06-10 02:10:49","2022-08-10 19:20:14","","3825-3840","","8","33","","Neural Computing and Applications","","","","","","","","","","","","","","","Publisher: Springer Science and Business Media Deutschland GmbH","","","http://dx.doi.org/10.1007/s00521-020-05207-9","Long short-term memory; Learning systems; Recurrent neural networks; Errors; Statistical tests; Search engines; Spell-checker, Encoder–decoder recurrent neural network, Long short-term memory, Spelling, Deep-learning; ACTIVITY RECOGNITION; Deep-learning; Encoder-decoder recurrent neural network; SENSORS; Spell-checker; Spelling; Long short-term memory, Encoder–decoder recurrent neural network, Spelling, Spell-checker, Deep-learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YKP3HGNR","book","2019","Ilyas, Ihab F.; Chu, Xu","Data Cleaning","","978-1-4503-7152-0","","","","","2019","2022-06-10 02:42:54","2022-08-10 19:16:51","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DEWVPN9","conferencePaper","2017","Vu, HT; Huang, CC","A multi-task convolutional neural network with spatial transform for parking space detection","2017 IEEE International Conference on …","","","","https://ieeexplore.ieee.org/abstract/document/8296584/","… To overcome these problems, we propose a deep learning framework to infer the parking status … The results show our system can reduce the error detection rate and thereby increase …","2017","2022-07-29 19:21:54","2022-08-10 19:12:56","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICIP.2017.8296584","Deep learning; Convolutional neural networks; Convolution; Image processing; Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2FGHHR2","conferencePaper","2016","DiTomaso, D; Boraten, T; Kodi, A; ...","Dynamic error mitigation in NoCs using intelligent prediction techniques","2016 49th Annual IEEE …","","","","https://ieeexplore.ieee.org/abstract/document/7783734/","… We propose to utilize machine learning techniques to train a decision tree which can be … a static single error correction and double error detection (SECDED) technique resulting in an …","2016","2022-07-29 19:22:06","2022-08-10 19:18:32","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBRN8LKH","conferencePaper","2019","Doggett, EV; Wolak, AMC; Tsatsoulis, PD; ...","Neural pixel error detection","ACM SIGGRAPH 2019 …","","","10.1145/3306307.3328197","https://dl.acm.org/doi/abs/10.1145/3306307.3328197","… In sum, we show that simple neural network methods such as autoencoders can perform admirably for real-world production QC tasks, improving scalability for a studio QC workflow. …","2019","2022-07-29 20:06:18","2022-08-10 20:38:08","","","","","","","","","","","","","dl.acm.org","","","","","","","","","","","","http://dx.doi.org/10.1145/3306307.3328197","Anomaly detection; Machine learning; Neural networks; Quality control; Error detection; Pixels; Interactive computer graphics; Machinery; pixel errors, quality control, video, neural networks, anomaly detection, autoencoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99IVZLFL","journalArticle","2020","Alkhatib, M; Monem, AA; Shaalan, K","Deep learning for Arabic error detection and correction","ACM Transactions on Asian and …","","","10.1145/3373266","https://dl.acm.org/doi/abs/10.1145/3373266","… In this article, we present how neural network models can be … novel deep learning framework for performing error detection … For developing a computational spelling error detection and …","2020","2022-07-29 20:07:25","2022-08-10 19:17:52","","","","Query date: 2022-07-28 20:03:59","","","","","","","","","","","","","","","","","","Publisher: dl.acm.org","","","http://dx.doi.org/10.1145/3373266","Deep learning; Error detection; Deep neural networks; Natural language processing systems; error correction, word embedding, bidirectional long short-term memory, Error detection, polynomial network classifier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H2RA6JGG","conferencePaper","2020","Fu, EY; Yang, Z; Leong, HV; Ngai, G; Do, C; ...","Exploiting Active Learning in Novel Refractive Error Detection with Smartphones","Proceedings of the 28th …","","","10.1145/3394171.3413748","https://dl.acm.org/doi/abs/10.1145/3394171.3413748","… lutional Neural Network features encoding information of human eyes from pre-trained gaze estimation model. This enables more effective training on refractive error detection models …","2020","2022-07-29 20:07:30","2022-08-10 19:19:23","","","","","","","","","","","","","dl.acm.org","","","","","","","","","","","","http://dx.doi.org/10.1145/3394171.3413748","Learning systems; Error detection; Convolutional neural networks; Labeled data; Smartphones; Image processing; Ophthalmology; mobile heathcare, computer-aided diagnosis, vision screening, active learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RSRZY7Q","book","2020","Chen, X","Approximate and Bit-Width Configurable Arithmetic Logic Unit Design for Deep Learning Accelerator","","","","","https://search.proquest.com/openview/777cbe2c13c2a611b65186d2f27aae91/1?pq-origsite=gscholar&cbl=51922&diss=y","… An efficient error detection and correction block is designed … deep learning applications in a more energy efficient way. This section provided an overview of prior work on deep learning …","2020","2022-07-29 20:07:55","2022-08-10 19:14:17","","","","","","","","","","Query date: 2022-07-28 20:03:59","","","search.proquest.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YRAYD5II","conferencePaper","2020","Zhang, L; Zheng, T; Xue, J","Error Heuristic Based Text-Only Error Correction Method for Automatic Speech Recognition","International Conference on Neural Information …","","","10.1007/978-3-030-63830-6_62","https://link.springer.com/chapter/10.1007/978-3-030-63830-6_62","… With the fast development of deep learning, automatic … error knowledge from an error detection model as a heuristic to … due to the development of deep learning. Although the accuracy …","2020","2022-07-29 20:08:04","2022-08-10 19:19:21","","","","","","","","","","","","","Springer","","","","","","","","","","","","http://dx.doi.org/10.1007/978-3-030-63830-6_62","Deep learning; Error correction; Speech recognition; Heuristic methods; Transfer learning; Character recognition; Transfer learning, ASR error detection, Error heuristic, ASR error correction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HYQP8V9A","journalArticle","2021","He, Z","English grammar error detection using recurrent neural networks","Scientific Programming","","","","https://www.hindawi.com/journals/sp/2021/7058723/","… error detection [11–13], this paper proposes a grammatical error detection method [14–17] based on deep learning [18… (1) is article uses the recurrent neural network technology to solve …","2021","2022-07-29 20:08:57","2022-08-10 19:18:41","","","","Query date: 2022-07-28 18:03:11","","","","","","","","","","","","","","","","","","Publisher: hindawi.com","","","http://dx.doi.org/10.1155/2021/7058723","Long short-term memory; Error detection; Encoding (symbols); Disasters; Vector spaces","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
