"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LMUGD5VN","conferencePaper","2019","Hurakadli, Vaishnavi; Kulkarni, Sujaykumar; Patil, Ujwala; Tabib, Ramesh; Mudengudi, Uma","Deep Learning based Radial Blur Estimation and Image Enhancement","2019 IEEE International Conference on Electronics, Computing and Communication Technologies, CONECCT 2019, July 26, 2019  -  July 27, 2019","","","10.1109/CONECCT47791.2019.9012864","","In this paper, we propose a deep learning based pipeline to estimate the radial blur and enhance the deblurred image. The radial blur is introduced in the image as an effect of ego motion in autonomous vehicle systems. The deblurring of the image with radial blur is challenging since most of the blur models do not estimate radial blur. Hence, we design a deep learning based pipeline with estimation and enhancement modules. The estimation module is designed with CuratorNet to estimate radial PSF in two stages. The estimated PSF is used for deblurring of input radial blurred images. The enhancement module is designed with convolutional autoencoder which enhances the deblurred image to remove artefacts in order to detect the traffic signs. We demonstrate the results of the proposed pipeline on synthetic and real images with traffic signs and compare the results with existing methods.  2019 IEEE.","2019","2022-06-10 02:09:41","2022-08-10 19:16:55","","","","","","","","","2019 IEEE International Conference on Electronics, Computing and Communication Technologies, CONECCT 2019","","","","Institute of Electrical and Electronics Engineers Inc.","Bangalore, India","","","","","","","","","","","http://dx.doi.org/10.1109/CONECCT47791.2019.9012864","Deep learning; Pipelines; Error detection; Image enhancement; Traffic signs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8NAF2Y2F","journalArticle","2019","De Man, Ruben; Gang, Grace J.; Li, Xin; Wang, Ge","Comparison of deep learning and human observer performance for detection and characterization of simulated lesions","Journal of Medical Imaging","","23294302","10.1117/1.JMI.6.2.025503","","Detection and characterization of abnormalities in clinical imaging are of utmost importance for patient diagnosis and treatment. We present a comparison of convolutional neural network (CNN) and human observer performance on a simulated lesion detection and characterization task. We apply both conventional performance metrics, including accuracy and nonconventional metrics such as lift charts to perform qualitative and quantitative comparisons of each type of observer. It is determined that the CNN generally outperforms the human observers, particularly at high noise levels. However, high noise correlation reduces the relative performance of the CNN, and human observer performance is comparable to CNN under these conditions. These findings extend into the field of diagnostic radiology, where the adoption of deep learning is starting to become widespread. Consideration of the applications for which deep learning is most effective is of critical importance to this development.  2019 Society of Photo-Optical Instrumentation Engineers (SPIE).","2019","2022-06-10 02:10:34","2022-08-10 19:15:47","","","","2","6","","Journal of Medical Imaging","","","","","","","","","","","","","","","Publisher: SPIE","","","http://dx.doi.org/10.1117/1.JMI.6.2.025503","Deep learning; Artificial intelligence; Error detection; Patient treatment; Convolutional neural networks; Image analysis; Diagnostic radiography; Image quality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UII79C7H","conferencePaper","2019","De Man, Ruben; Gang, Grace J.; Li, Xin; Wang, Ge","Comparison of deep learning and human observer performance for lesion detection and characterization","15th International Meeting on Fully Three-Dimensional Image Reconstruction in Radiology and Nuclear Medicine, Fully3D 2019, June 2, 2019  -  June 6, 2019","0277786X","","10.1117/12.2532331","","The detection and characterizations of abnormalities in clinical imaging is of the utmost importance for patient diagnosis and treatment. In this paper, we present a comparison of convolutional neural network (CNN) and human observer performance on a simulated lesion detection and characterization task. We apply both conventional performance metrics including accuracy and non-conventional metrics such as lift charts to perform qualitative and quantitative comparison of each type of observer. It is determined that the CNN generally outperforms the human observers, particularly at high noise levels. However, high noise correlation reduces the relative performance of the CNN, and human observer performance is comparable to CNN under these conditions. These findings extend into the field of diagnostic radiology, where the adoption of deep learning is starting to become widespread. The importance of considering the applications for which deep learning is most effective is of critical importance to this development.  COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only.","2019","2022-06-10 02:10:37","2022-08-10 19:16:39","","Canon Medical Research USA, Inc.; MILabs; MOLECUBES; SYF Foundation; United Imaging Healthcare Group Co., Ltd.","","","11072","","","","Proceedings of SPIE - The International Society for Optical Engineering","","","","SPIE","Philadelphia, PA, United states","","","","","","","","","","","http://dx.doi.org/10.1117/12.2532331","Deep learning; Artificial intelligence; Error detection; Patient treatment; Convolutional neural networks; Image reconstruction; Image analysis; Diagnostic radiography; Image quality; Imaging systems; Medical image processing; Nuclear medicine; Radiation; Radiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4AEX5HY9","journalArticle","2019","Olmos, Roberto; Tabik, Siham; Lamas, Alberto; Perez-Hernandez, Francisco; Herrera, Francisco","A binocular image fusion approach for minimizing false positives in handgun detection with deep learning","Information Fusion","","15662535","10.1016/j.inffus.2018.11.015","","Object detection models have known important improvements in the recent years. The state-of-the art detectors are end-to-end Convolutional Neural Network based models that reach good mean average precisions, around 73%, on benchmarks of high quality images. However, these models still produce a large number of false positives in low quality videos such as, surveillance videos. This paper proposes a novel image fusion approach to make the detection model focus on the area of interest where the action is more likely to happen in the scene. We propose building a low cost symmetric dual camera system to compute the disparity map and exploit this information to improve the selection of candidate regions from the input frames. From our results, the proposed approach not only reduces the number of false positives but also improves the overall performance of the detection model which make it appropriate for object detection in surveillance videos.  2018 Elsevier B.V.","2019","2022-06-10 02:10:40","2022-08-10 19:05:11","","271-280","","","49","","Information Fusion","","","","","","","","","","","","","","","Publisher: Elsevier B.V.","","","http://dx.doi.org/10.1016/j.inffus.2018.11.015","Deep learning; Classification (of information); Error detection; Security systems; Deep neural networks; Benchmarking; Convolutional neural networks; Convolution; Object detection; Object recognition; Mobile telecommunication systems; Image fusion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JY4XDRZM","conferencePaper","2020","Wong, L.J.; Altland, E.; Detwiler, J.; Fermin, P.; Kuzin, J.M.; Moeliono, N.; Abdalla, A.S.; Headley, W.C.; Michaels, A.J.","Resilience Improvements for Space-Based Radio Frequency Machine Learning","2020 International Symposium on Networks, Computers and Communications (ISNCC), 20-22 Oct. 2020","","","10.1109/ISNCC49221.2020.9297212","","Recent work has quantified the degradations that occur in convolutional neural nets (CNN) deployed in harsh environments like space-based image or radio frequency (RF) processing applications. Such degradations yield a robust correlation and causality between single-event upset (SEU) induced errors in memory weights of on-orbit CNN implementations. However, minimal considerations have been given to how the resilience of CNNs can be improved algorithmically as opposed to via enhanced hardware. This paper focuses on RF-processing CNNs and performs an in-depth analysis of applying software-based error detection and correction mechanisms, which may subsequently be combined with protections of radiation-hardened processor platforms. These techniques are more accessible for low cost smallsat platforms than ruggedized hardware. Additionally, methods for minimizing the memory and computational complexity of the resulting resilience techniques are identified. Combined with periodic scrubbing, the resulting techniques are shown to improve expected lifetimes of CNN-based RF-processing algorithms by several orders of magnitude.","2020","2022-06-10 02:10:43","2022-08-10 20:38:38","","5 pp.","","","","","","","2020 International Symposium on Networks, Computers and Communications (ISNCC)","","","","","","","","","","","","","","","","http://dx.doi.org/10.1109/ISNCC49221.2020.9297212","Machine learning; neural nets; learning (artificial intelligence); Computer networks; Convolutional neural networks; error detection; cellular neural nets; microprocessor chips; radiation hardening (electronics); space vehicle electronics; Computer hardware; Radiation hardening; Radio waves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M5EKUNRI","conferencePaper","2021","Yao, Peiran; Barbosa, Denilson","Typing errors in factual knowledge graphs: Severity and possible ways out","","","","","","Factual knowledge graphs (KGs) such as DBpedia and Wikidata have served as part of various downstream tasks and are also widely adopted by artificial intelligence research communities as benchmark datasets. However, we found these KGs to be surprisingly noisy. In this study, we question the quality of these KGs, where the typing error rate is estimated to be 27% for coarse-grained types on average, and even 73% for certain fine-grained types. In pursuit of solutions, we propose an active typing error detection algorithm that maximizes the utilization of both gold and noisy labels. We also comprehensively discuss and compare unsupervised, semi-supervised, and supervised paradigms to deal with typing errors in factual KGs. The outcomes of this study provide guidelines for researchers to use noisy factual KGs. To help practitioners deploy the techniques and conduct further research, we published our code and data 1  2021, CC BY-SA.","2021","2022-06-10 02:11:16","2022-08-10 20:39:17","","","","","","","","","arXiv","","","","arXiv","","","","","","","","","","","","http://dx.doi.org/10.1145/3442381.3449977","Error detection; learning (artificial intelligence); natural language processing; Web sites; knowledge based systems; Knowledge graph; text analysis; graph theory; encyclopaedias","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ZZ2QQDU","journalArticle","2017","Rei, M","Semi-supervised multitask learning for sequence labeling","arXiv preprint arXiv:1704.07156","","","","https://arxiv.org/abs/1704.07156","… This secondary unsupervised objective encourages the framework to learn richer features for … Finally, these additional objectives are combined with the training objective E from either …","2017","2022-06-14 14:29:56","2022-08-10 20:38:50","","","","Query date: 2022-06-14 09:38:53","","","","","","","","","","","","","","","","","","Publisher: arxiv.org","","","http://dx.doi.org/10.18653/v1/P17-1194","Machine learning; Learning algorithms; Benchmarking; Natural language processing systems; Semantics; Semi-supervised learning; Computational linguistics; Modeling languages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E527LLV7","journalArticle","2019","Liu, S; Wang, Y; Yang, X; Lei, B; Liu, L; Li, SX; Ni, D; ...","Deep learning in medical ultrasound analysis: a review","Engineering","","","","https://www.sciencedirect.com/science/article/pii/S2095809918301887","… This review first briefly introduces several popular deep learning … the deep learning architectures that are widely applied in US analysis. Deep learning, as a branch of machine learning, …","2019","2022-06-14 14:29:59","2022-08-10 19:17:56","","","","Query date: 2022-06-14 09:38:53","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","http://dx.doi.org/10.1016/j.eng.2018.11.020","Deep learning; Classification (of information); Error detection; Diagnosis; Medical imaging; Image segmentation; Image analysis; Ultrasonic applications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQISRFZ2","journalArticle","2017","Fuentes, A; Yoon, S; Kim, SC; Park, DS","A robust deep-learning-based detector for real-time tomato plant diseases and pests recognition","Sensors","","","","https://www.mdpi.com/221534","… In this paper, we present a deep-learning-based approach to … Our goal is to find the more suitable deep-learning … purpose of this work are called “deep learning meta-architectures”. We …","2017","2022-06-14 14:30:00","2022-08-10 19:17:43","","","","Query date: 2022-06-14 09:38:53","","","","","","","","","","","","","","","","","","Publisher: mdpi.com","","","http://dx.doi.org/10.3390/s17092022","Deep learning; Error detection; Deep neural networks; Large dataset; Statistical tests; Network architecture; Convolutional neural networks; Convolution; Object detection; Object recognition; Agricultural robots; Losses; Fruits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GICLFEGM","journalArticle","2016","Das, B; Cook, DJ; Krishnan, NC; ...","One-class classification-based real-time activity error detection in smart homes","IEEE journal of …","","","","https://ieeexplore.ieee.org/abstract/document/7421975/","… To address this limitation, we propose an unsupervised approach to error detection by utilizing one-class classification-based … In order to further improve error detection, we utilize …","2016","2022-07-29 19:21:51","2022-08-10 19:22:34","","","","Query date: 2022-07-28 23:13:43","","","","","","","","","","","","","","","","","","Publisher: ieeexplore.ieee.org","","","http://dx.doi.org/10.1109/JSTSP.2016.2535972","learning (artificial intelligence); image classification; object detection; assisted living","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
