"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LNE8X3HX","conferencePaper","2021","Merazy, Mostafa A.; Hasan, Rahma; Mohamed, Mansour A.; Nayel, M.","Error Detection in pMU Voltage Measurements Using Artificial Neural Network","22nd International Middle East Power Systems Conference, MEPCON 2021, December 14, 2021  -  December 16, 2021","","","10.1109/MEPCON50283.2021.9686200","","Micro Phasor measurement unit ($\mu\text{PMU}$) is a new technology used for monitoring distribution grid. It monitors voltage and current phasors of some buses and calculates voltage and current phasors of the other buses. At present, there is a two-ways energy flow in electric distribution grids due to the growth of distributed energy resources. So, there are many sources of error in $\mu\text{PMU}$ system data. In this paper, Pearson correlation is used with the help of a Binary Neural Network (BNN) classifier to detect the errors in $\mu\text{PMU}$ voltage measurements. Two BNNs are used in this paper. The first BNN is used to detect the injected error in the measured voltage magnitude. Meanwhile, the second BNN is used to detect the injected error in the measured voltage phase angle. The row sum of the correlation matrix is used as an input to BNN that indicates the weight of relation between a group of voltage measurements. The proposed method is tested for Assiut-university radial sub-feeder and the results showed a robust and an accurate performance for errors detection in $\mu\text{PMU}$ voltage measurements.  2021 IEEE.","2021","2022-06-10 02:09:05","2022-08-10 19:19:01","","569-574","","","","","","","22nd International Middle East Power Systems Conference, MEPCON 2021 - Proceedings","","","","Institute of Electrical and Electronics Engineers Inc.","Assiut, Egypt","","","","","","","","","","","http://dx.doi.org/10.1109/MEPCON50283.2021.9686200","Neural networks; Error detection; Phasor measurement units; Correlation methods; Energy resources; Voltage measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGFTY48U","conferencePaper","2017","Wang, Z","Face Detection Based on Improved Neural Network and Adaboost Algorithm","2017 International Conference on Smart Grid and …","","","","https://ieeexplore.ieee.org/abstract/document/8104374/","… neural network and fast Adaboost. Skin color segmentation based on improved neural network is … has higher detection rate and lower error detection rate, which can provide certain …","2017","2022-07-29 19:21:53","2022-08-10 19:19:33","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICSGEA.2017.63","Electric power transmission networks; Neural networks; Security systems; Adaptive boosting; Smart power grids; Face recognition; Image segmentation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U8PAF46","conferencePaper","2016","Ding, A; Zhang, Q; Zhou, X; Dai, B","Automatic recognition of landslide based on CNN and texture change detection","2016 31st Youth Academic …","","","","https://ieeexplore.ieee.org/abstract/document/7804935/","… recognition of landslide based on convolutional neural network (CNN) and texture change … methods in avoiding a large scale of error detection, efficiency and convenience. The remote …","2016","2022-07-29 19:21:53","2022-08-10 19:15:11","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/YAC.2016.7804935","Convolutional neural networks; Convolution; Disasters; Remote sensing; Efficiency; Textures; Landslides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DEWVPN9","conferencePaper","2017","Vu, HT; Huang, CC","A multi-task convolutional neural network with spatial transform for parking space detection","2017 IEEE International Conference on …","","","","https://ieeexplore.ieee.org/abstract/document/8296584/","… To overcome these problems, we propose a deep learning framework to infer the parking status … The results show our system can reduce the error detection rate and thereby increase …","2017","2022-07-29 19:21:54","2022-08-10 19:12:56","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICIP.2017.8296584","Deep learning; Convolutional neural networks; Convolution; Image processing; Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYDLRZLZ","conferencePaper","2017","Beham, MP; Roomi, SMM; Jebina, H; ...","Face spoofing detection using binary gradient orientation pattern with deep neural network","… on Advances in Pattern …","","","","https://ieeexplore.ieee.org/abstract/document/8593022/","… deep neural network to learn BGOP features of high discriminative ability in a supervised manner. … , the proposed BGOP feature achieved good error detection rate on standard datasets. …","2017","2022-07-29 19:21:54","2022-08-10 19:19:37","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICAPR.2017.8593022","Neural networks; Deep neural networks; Face recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FXJ4VLFE","conferencePaper","2018","Ejaz, MZ; Khurshid, K; Abbas, Z; ...","A novel image encoding and communication technique of B/W images for IOT, robotics and drones using (15, 11) reed solomon scheme","2018 Advances in …","","","","https://ieeexplore.ieee.org/abstract/document/8376846/","… using artificial intelligence, machine learning or machine vision, … are normally used for error detection and correction at data … So, we have used error detection and correction capability of …","2018","2022-07-29 20:05:01","2022-08-10 19:13:01","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICASET.2018.8376846","Machine learning; Learning systems; Artificial intelligence; Internet of things; Decision making; Signal encoding; Encoding (symbols); Decoding; Computer vision; Image reconstruction; Intelligent robots; Satellites; Drones; Image coding; Robotics; Ionosphere; Reed-Solomon codes; Satellite communication systems; Satellite links","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERTWDS9L","conferencePaper","2018","Aboagye, EO; Jianbin, G; ...","Efficient parallelization for big data collaborative recommendation decisions","2018 IEEE 8th Annual …","","","","https://ieeexplore.ieee.org/abstract/document/8301706/","… From our experiments, our novel machine learning sentiment-based probabilistic tensor … recommendation decision making as shown from our error detection evaluation metrics. …","2018","2022-07-29 20:05:10","2022-08-10 19:18:37","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/CCWC.2018.8301706","Big data; Factorization; Decision making; Sentiment analysis; Tensors; Information filtering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P27VEW2B","conferencePaper","2019","Knill, KM; Gales, MJF; Manakul, PP; ...","Automatic grammatical error detection of non-native spoken learner English","ICASSP 2019-2019 …","","","","https://ieeexplore.ieee.org/abstract/document/8683080/","… The grammatical error detection (GED) system chosen for this work is a state-of-the-art bidirectional recurrrent neural network based framework2 proposed for detecting all kinds of …","2019","2022-07-29 20:06:17","2022-08-10 19:15:05","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICASSP.2019.8683080","Deep learning; Learning systems; Error detection; Speech communication; Audio signal processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALJDG3RN","conferencePaper","2019","Roy, S; Ali, FB","Unsupervised context-sensitive bangla spelling correction with character n-gram","… 22nd International Conference on Computer and …","","","","https://ieeexplore.ieee.org/abstract/document/9038604/","… Abstract—We propose an unsupervised context- aware spelling error detection and correction method for traditional Bangla written script. The contextaware capability is introduced by …","2019","2022-07-29 20:06:18","2022-08-10 20:39:19","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICCIT48885.2019.9038604","Embeddings; Computational linguistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4U2G2TX","conferencePaper","2019","Kaur, G; Kaur, K; Singh, P","Spell checker for Punjabi language using deep neural network","2019 5th International Conference on …","","","","https://ieeexplore.ieee.org/abstract/document/8728369/","… Available spell checkers use traditional method for error detection such as dictionary lookup … neural network along with rule based approach and minimum edit distance. Error detection …","2019","2022-07-29 20:06:19","2022-08-10 20:39:00","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICACCS.2019.8728369","Long short-term memory; Learning systems; Error detection; Deep neural networks; Trees (mathematics); Error correction; Text processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J3L94IRU","conferencePaper","2020","Du, Y; Shang, X; Shan, W","An energy-efficient time-domain binary neural network accelerator with error-detection in 28nm cmos","2020 IEEE Asia Pacific Conference …","","","","https://ieeexplore.ieee.org/abstract/document/9301692/","… binary neural network accelerator is optimized for image recognition, with time-domain accumulation (TD-MAC), timing error detection … , our timing error detection based adaptive voltage …","2020","2022-07-29 20:07:26","2022-08-10 19:13:52","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/APCCAS50809.2020.9301692","Neural networks; Error detection; Deep neural networks; Energy efficiency; Image recognition; CMOS integrated circuits; Integrated circuit design; Metal drawing; Voltage scaling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37C6MSXU","journalArticle","2021","Cai, Z; Cheng, B; Du, Y; Shang, X; ...","A Time-Domain Binary CNN Engine With Error-Detection-Based Resilience in 28nm CMOS","IEEE Transactions on …","","","","https://ieeexplore.ieee.org/abstract/document/9453709/","… -domain binary neural network engine named TD-BNN in 28nm CMOS is designed in this brief, which drastically reduces computing and memory resource in the neural network. A TD-…","2021","2022-07-29 20:08:58","2022-08-10 19:13:27","","","","Query date: 2022-07-28 18:03:11","","","","","","","","","","","","","","","","","","Publisher: ieeexplore.ieee.org","","","http://dx.doi.org/10.1109/TCSII.2021.3088857","Neural networks; Error detection; Deep neural networks; Engines; Energy efficiency; Image recognition; CMOS integrated circuits; Metal drawing; Voltage scaling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGZJN454","conferencePaper","2021","Gao, Y; Gao, Y; Wang, Z; Lin, X; ...","Adaptive Inclined Text Detection in Natural Scenes Fusing Convolutional Recurrent Neural Network","… Conference on UK-China …","","","","https://ieeexplore.ieee.org/abstract/document/9674949/","… Recurrent Neural Network (CRNN) behind to eliminate the error detection results. Our … CRNN [5] to eliminate the error detection results and further improve the detection accuracy. …","2021","2022-07-29 20:09:00","2022-08-10 19:13:31","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/UCET54125.2021.9674949","Recurrent neural networks; Convolutional neural networks; Convolution; Character recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T4LKS596","journalArticle","2021","Qiu, X; Chen, S; Li, R; Wang, D; Lin, X","A Post-processing method for text detection based on geometric features","IEEE Access","","","","https://ieeexplore.ieee.org/abstract/document/9366930/","… characters to filter out the error detection of some prediction boxes. … deep learning by CNN (Convolutional Neural Networks). These methods obtain text features through deep learning …","2021","2022-07-29 20:09:03","2022-08-10 19:13:05","","","","Query date: 2022-07-28 18:03:11","","","","","","","","","","","","","","","","","","Publisher: ieeexplore.ieee.org","","","http://dx.doi.org/10.1109/ACCESS.2021.3063184","Deep learning; Forecasting; Feature extraction; Large dataset; Processing; Pixels; Character recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTDB8ABN","conferencePaper","2021","Karakaya, M","Detecting Errors in Automatic Image Captioning by Deep Learning","2021 6th International Conference on Computer …","","","","https://ieeexplore.ieee.org/abstract/document/9558968/","… In this study, a deep learning model that automatically tags the pictures is used to detect errors in image captions. As a result of the initial experiments, it is observed that the proposed …","2021","2022-07-29 20:09:05","2022-08-10 19:18:11","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/UBMK52708.2021.9558968","Error detection; Deep neural networks; Image annotation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
