"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HUZ7BM2N","journalArticle","2021","Jiang, JiChu; Simsek, Murat; Kantarci, Burak; Khan, Shahzad","TabCellNet: Deep learning-based tabular cell structure detection","Neurocomputing","","09252312","10.1016/j.neucom.2021.01.103","","There is an increasing demand for automated document processing techniques as the volume of electronic component documents increase. This is most prevalent in the supply chain optimization sector where vast amount of documents need to be processed and is time consuming and prone to error. Detection of tables and table structures serves as a crucial step to automate document processing. While table detection is a well investigated problem, tabular structure detection is more complex, and requires further improvements. To address this, this study proposes a deep learning model that focuses on high precision tabular cell structure detection. The proposed model creates a benchmark for the ICDAR2013 dataset cell structure with comparison to the previous state of the art table detection models as well as proposing alternative models. Our methodology approaches improving table structure detection through the detection of cells instead of row and columns for better generalization capabilities for heterogeneous table structures. Our proposed model advances prior models by improving major parts of the detection pipeline, mainly the two-stage detector, backbone, backbone architecture, and non-maximum-suppression (NMS). TabCellNet consists of Hybrid Task Cascade (HTC) with Combinational Backbone Network (CBNet), dual ResNeXt101 and Soft-NMS to achieve a precision of 89.2% and recall of 98.7% on the hand annotated ICDAR2013 cell structure dataset.  2021 Elsevier B.V.","2021","2022-06-10 02:10:41","2022-08-10 20:39:06","","12-23","","","440","","Neurocomputing","","","","","","","","","","","","","","","Publisher: Elsevier B.V.","","","http://dx.doi.org/10.1016/j.neucom.2021.01.103","Deep learning; Convolutional neural networks; Cells; Cytology; Supply chains; Image processing; Document processing; Page object detection; Structure detection; Table detection; Tabular data extraction; NETWORKS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQPRUMQE","journalArticle","2018","Madi, N; Al-Khalifa, HS","A proposed Arabic grammatical error detection tool based on deep learning","Procedia computer science","","","","https://www.sciencedirect.com/science/article/pii/S1877050918321860","… Developing a system for automating error detection in Arabic writing could help produce … tool that performs Arabic Grammatical error detection by employing a deep learning model. …","2018","2022-07-29 20:04:51","2022-08-10 19:13:09","","","","Query date: 2022-07-28 22:11:05","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","http://dx.doi.org/10.1016/j.procs.2018.10.482","Deep learning; Recurrent neural networks; Error detection; Deep neural networks; Natural language processing systems; Computational linguistics; Deep Learning; Arabic Natural Language Processing; Grammatical Error Detection; Recurrent Neural Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LN5U8GFU","journalArticle","2019","Huang, S; Luo, X; Huang, J; Guo, Y; Gu, S","An unsupervised approach for learning a Chinese IS-A taxonomy from an unstructured corpus","Knowledge-Based Systems","","","","https://www.sciencedirect.com/science/article/pii/S0950705119303363","… Error detection A key challenge in error detection is that two concepts from the above … To overcome this problem, we propose a co-occurrence-coordination-based error detection …","2019","2022-07-29 20:06:26","2022-08-10 19:14:01","","","","Query date: 2022-07-28 21:07:20","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","http://dx.doi.org/10.1016/j.knosys.2019.07.032","Iterative methods; Error detection; Natural language processing systems; Semantics; Unsupervised learning; C (programming language); Text processing; Taxonomies; Chinese taxonomy learning; Relation inference; Taxonomic semantic clique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVWZ6CAG","journalArticle","2020","Rong, D; Wang, H; Xie, L; Ying, Y; Zhang, Y","Impurity detection of juglans using deep learning and machine vision","Computers and Electronics in …","","","","https://www.sciencedirect.com/science/article/pii/S0168169920318391","… The proposed deep-learning method is simpler and more … the white transmission belt to avoid error detection in the real factory … Future work will focus on deep learning using multi-wave …","2020","2022-07-29 20:07:35","2022-08-10 19:20:38","","","","Query date: 2022-07-28 20:03:59","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","http://dx.doi.org/10.1016/j.compag.2020.105764","Deep learning; Learning systems; Convolutional neural networks; Convolution; Computer vision; Damage detection; Image segmentation; Belt conveyors; Food safety; Impurity detection; Juglans; Machine vision","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9KDTSRMZ","journalArticle","2021","Zhang, X; Dai, G; Zhong, R; Zhou, L; Xiao, Q; Wang, X; ...","Radiomics analysis of EPID measurements for patient positioning error detection in thyroid associated ophthalmopathy radiotherapy","Physica Medica","","","","https://www.sciencedirect.com/science/article/pii/S1120179721002970","… toward machine learning-based positioning error detection … Combined radiomics and machine learning approaches are … toward machine learning-based positioning error detection …","2021","2022-07-29 20:08:58","2022-08-10 19:22:50","","","","Query date: 2022-07-28 18:03:11","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","","Machine learning; EPID dosimetry; Multifactorial error sources; Positioning error detection; Radiomics analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A2BBJ9GV","journalArticle","2021","Eshky, A; Cleland, J; Ribeiro, MS; Sugden, E; ...","Automatic audiovisual synchronisation for ultrasound tongue imaging","Speech …","","","","https://www.sciencedirect.com/science/article/pii/S0167639321000583","… in order to find the thresholds for error detection. We use these … by a self-supervised neural network, exploiting the correlation … Our approach used a self-supervised neural network which …","2021","2022-07-29 20:09:13","2022-08-10 19:14:47","","","","Query date: 2022-07-28 18:03:11","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","","Automatic audiovisual synchronisation; Synchronisation error tolerance; Ultrasound tongue imaging; Automatic audiovisual synchronisation, Synchronisation error tolerance, Ultrasound tongue imaging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JISMXVFT","journalArticle","2022","Bedford, JL; Hanson, IM","A recurrent neural network for rapid detection of delivery errors during real-time portal dosimetry","Physics and Imaging in Radiation Oncology","","","","https://www.sciencedirect.com/science/article/pii/S2405631622000288","… When using the neural network, the median segment index for error detection was 66 out of 180, with no false positives. The neural network reduced the rate of false negative results …","2022","2022-07-29 20:11:17","2022-08-10 19:13:14","","","","Query date: 2022-07-28 19:22:13","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","","Artificial neural network; Electronic portal imaging device; In vivo dosimetry; Volumetric modulated arc therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QAWKLWL2","journalArticle","2022","Korzekwa, D; Lorenzo-Trueba, J; Drugman, T; ...","Computer-assisted pronunciation training—Speech synthesis is almost all you need","Speech …","","","","https://www.sciencedirect.com/science/article/pii/S0167639322000863","… We propose a reformulation of the problem of pronunciation error detection as a task of … error detection models. In the present work, we are training separate machine learning models …","2022","2022-07-29 20:11:18","2022-08-10 19:16:46","","","","Query date: 2022-07-28 19:22:13","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","http://dx.doi.org/10.1016/j.specom.2022.06.003","Deep learning; Learning systems; Error detection; Bayesian networks; Speech recognition; Computer aided instruction; Speech synthesis; Automated lexical stress error detection; Automated pronunciation error detection; Computer-assisted pronunciation training; Voice conversion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IALBN8S","journalArticle","2022","Zhao, J; Yan, J; Xue, T; Wang, S; Qiu, X; Yao, X; ...","A deep learning method for oriented and small wheat spike detection (OSWSDet) in UAV images","… and Electronics in …","","","","https://www.sciencedirect.com/science/article/pii/S0168169922004045","… Along with various technological developments, deep-learning-based methods have … cause error detection and miss detection problems. This paper proposes a deep learning method …","2022","2022-07-29 20:11:18","2022-08-10 19:12:35","","","","Query date: 2022-07-28 19:22:13","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","http://dx.doi.org/10.1016/j.compag.2022.107087","Deep learning; Error detection; Aircraft detection; Unmanned aerial vehicles (UAV); Antennas; YOLOv5; Orientation feature; Unmanned aerial vehicle (UAV); Wheat spike detection; YOLOv5, Orientation feature, Unmanned aerial vehicle (UAV), Wheat spike detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MJEXLNG","journalArticle","2022","Yang, B; Chen, X; Li, J; Zhu, J; Men, K; Dai, J","A feasible method to evaluate deformable image registration with deep learning–based segmentation","Physica Medica","","","","https://www.sciencedirect.com/science/article/pii/S1120179722014077","… The QA method achieved promising image registration error detection, with the following metrics for the nine ROIs: balanced accuracy, 0.946 ± 0.029; sensitivity, 0.959 ± 0.021; and …","2022","2022-07-29 20:11:19","2022-08-10 19:12:41","","","","Query date: 2022-07-28 19:22:13","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","","Deep learning; Imaging registration; Quantitative evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
