"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KYTM8AFW","journalArticle","2017","Liu, ZR; Liu, Y","Exploiting unlabeled data for neural grammatical error detection","Journal of Computer Science and Technology","","","10.1007/s11390-017-1757-4","https://link.springer.com/article/10.1007/s11390-017-1757-4","… to train neural network based grammatical error detection models. The basic idea is to cast error detection as a … We introduce an attention-based neural network to capture long-distance …","2017","2022-07-29 19:21:51","2022-08-10 19:19:28","","","","Query date: 2022-07-28 23:13:43","","","","","","","","","","","","","","","","","","Publisher: Springer","","","http://dx.doi.org/10.1007/s11390-017-1757-4","Neural networks; Support vector machines; Error detection; Convolutional neural networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGFTY48U","conferencePaper","2017","Wang, Z","Face Detection Based on Improved Neural Network and Adaboost Algorithm","2017 International Conference on Smart Grid and …","","","","https://ieeexplore.ieee.org/abstract/document/8104374/","… neural network and fast Adaboost. Skin color segmentation based on improved neural network is … has higher detection rate and lower error detection rate, which can provide certain …","2017","2022-07-29 19:21:53","2022-08-10 19:19:33","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICSGEA.2017.63","Electric power transmission networks; Neural networks; Security systems; Adaptive boosting; Smart power grids; Face recognition; Image segmentation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9U8PAF46","conferencePaper","2016","Ding, A; Zhang, Q; Zhou, X; Dai, B","Automatic recognition of landslide based on CNN and texture change detection","2016 31st Youth Academic …","","","","https://ieeexplore.ieee.org/abstract/document/7804935/","… recognition of landslide based on convolutional neural network (CNN) and texture change … methods in avoiding a large scale of error detection, efficiency and convenience. The remote …","2016","2022-07-29 19:21:53","2022-08-10 19:15:11","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/YAC.2016.7804935","Convolutional neural networks; Convolution; Disasters; Remote sensing; Efficiency; Textures; Landslides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DEWVPN9","conferencePaper","2017","Vu, HT; Huang, CC","A multi-task convolutional neural network with spatial transform for parking space detection","2017 IEEE International Conference on …","","","","https://ieeexplore.ieee.org/abstract/document/8296584/","… To overcome these problems, we propose a deep learning framework to infer the parking status … The results show our system can reduce the error detection rate and thereby increase …","2017","2022-07-29 19:21:54","2022-08-10 19:12:56","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICIP.2017.8296584","Deep learning; Convolutional neural networks; Convolution; Image processing; Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYDLRZLZ","conferencePaper","2017","Beham, MP; Roomi, SMM; Jebina, H; ...","Face spoofing detection using binary gradient orientation pattern with deep neural network","… on Advances in Pattern …","","","","https://ieeexplore.ieee.org/abstract/document/8593022/","… deep neural network to learn BGOP features of high discriminative ability in a supervised manner. … , the proposed BGOP feature achieved good error detection rate on standard datasets. …","2017","2022-07-29 19:21:54","2022-08-10 19:19:37","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/ICAPR.2017.8593022","Neural networks; Deep neural networks; Face recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQPRUMQE","journalArticle","2018","Madi, N; Al-Khalifa, HS","A proposed Arabic grammatical error detection tool based on deep learning","Procedia computer science","","","","https://www.sciencedirect.com/science/article/pii/S1877050918321860","… Developing a system for automating error detection in Arabic writing could help produce … tool that performs Arabic Grammatical error detection by employing a deep learning model. …","2018","2022-07-29 20:04:51","2022-08-10 19:13:09","","","","Query date: 2022-07-28 22:11:05","","","","","","","","","","","","","","","","","","Publisher: Elsevier","","","http://dx.doi.org/10.1016/j.procs.2018.10.482","Deep learning; Recurrent neural networks; Error detection; Deep neural networks; Natural language processing systems; Computational linguistics; Deep Learning; Arabic Natural Language Processing; Grammatical Error Detection; Recurrent Neural Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASQGRQHN","conferencePaper","2018","Rehbein, I; Ruppenhofer, J","Detecting annotation noise in automatically labelled data","… of the 55th Annual Meeting of the …","","","","https://ids-pub.bsz-bw.de/frontdoor/index/index/docId/8034","… We provide a novel approach to error detection that is able to identify errors in automatically … We show how AL can be used to guide an unsupervised generative model, and we will …","2018","2022-07-29 20:04:51","2022-08-10 19:18:06","","","","","","","","","","","","","ids-pub.bsz-bw.de","","","","","","","","","","","","http://dx.doi.org/10.18653/v1/P17-1107","Computational linguistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSZNNLWM","conferencePaper","2018","Huber, P; Niehues, J; Waibel, A","Automated Evaluation of Out-of-Context Errors","arXiv preprint arXiv:1803.08983","","","","https://arxiv.org/abs/1803.08983","… means of out-of-context error detection. Through the novel design of our … unsupervised models. A standard binary classification neural network assesses the performance of supervised …","2018","2022-07-29 20:04:58","2022-08-10 19:14:38","","","","","","","","","","","","","arxiv.org","","","","","","","","","","","","","Machine learning; Classification (of information); Learning algorithms; Automation; Quality control; Errors; Semantics; Character recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERTWDS9L","conferencePaper","2018","Aboagye, EO; Jianbin, G; ...","Efficient parallelization for big data collaborative recommendation decisions","2018 IEEE 8th Annual …","","","","https://ieeexplore.ieee.org/abstract/document/8301706/","… From our experiments, our novel machine learning sentiment-based probabilistic tensor … recommendation decision making as shown from our error detection evaluation metrics. …","2018","2022-07-29 20:05:10","2022-08-10 19:18:37","","","","","","","","","","","","","ieeexplore.ieee.org","","","","","","","","","","","","http://dx.doi.org/10.1109/CCWC.2018.8301706","Big data; Factorization; Decision making; Sentiment analysis; Tensors; Information filtering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U5JMU222","journalArticle","2019","Bell, S; Yannakoudakis, H; Rei, M","Context is key: Grammatical error detection with contextual word representations","arXiv preprint arXiv:1906.06593","","","","https://arxiv.org/abs/1906.06593","… error detection (GED) in nonnative writing requires systems to identify a wide range of errors in text written by language learners. Error detection as a purely supervised … of unsupervised …","2019","2022-07-29 20:06:17","2022-08-10 19:09:00","","","","Query date: 2022-07-28 21:07:20","","","","","","","","","","","","","","","","","","Publisher: arxiv.org","","","","Error detection; Embeddings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
