Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,match_criteria
TUVEQ7H6,journalArticle,2022.0,"Yang, Kang; Ding, Youliang; Jiang, Huachen; Zhao, Hanwei; Luo, Gan",A two-stage data cleansing method for bridge global positioning system monitoring data based on bi-direction long and short term memory anomaly identification and conditional generative adversarial networks data repair,,,15452255,10.1002/stc.2993,,"Data cleansing is an essential approach for improving data quality. Therefore, it is the key to avoiding the false alarm of the monitoring system due to the anomaly of the data itself. Data cleansing consists of two parts: anomaly identification and anomaly repair. However, current research on data cleansing has mainly focused on anomaly identification and lacks efficient data repair methods. The key to data repair lies in sensor correlation models based on mapping relationships between sensors. To obtain a good inter-sensor relationship model, it is first necessary to exclude anomalous data from the training data set used for modeling. Therefore, a two-stage data cleansing framework for collaborative multi-sensor repair is proposed. First, based on the analysis of anomalous features of GPS data, a bidirectional long- and short-term memory (Bi-LSTM) neural network model is adopted for data anomalies classification and localization. As a result, the data segment to be repaired is determined. Then, on the basis of all sensor data in the time range of the day before the target repair data segment, the data set for data repair is constructed by excluding the anomaly data segments in the data set with the help of the above anomaly identification results. Then, a conditional generation adversarial network (CGAN) is proposed to achieve data repair. Experimental validation shows that the two-stage data cleansing method of identification followed by repair can accurately identify and repair GPS anomalies. Finally, several factors affecting the repair effect are discussed. 2022 John Wiley & Sons Ltd.",2022,2022-06-10 02:09:03,2022-07-31 01:45:08,,,,,,,,,Structural Control and Health Monitoring,,,,,,,,,,,,,Publisher: John Wiley and Sons Ltd,,,http://dx.doi.org/10.1002/stc.2993,Anomaly detection; Brain; Generative adversarial networks; Global positioning system; Long short-term memory; Monitoring; Repair; anomaly detection; data repair; data cleansing; bidirectional long- and short-term memory neural network; conditional generation adversarial network; ONLINE; OUTLIER DETECTION; RECOVERY; REGRESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Z37RWXKD,bookSection,2021.0,"Bi, Nifei; Chen, Xiansen; Xu, Chen; Zhou, Aoying",Beamer: An End-to-End Deep Learning Framework for Unifying Data Cleaning in DNN Model Training and Inference,"30th ACM International Conference on Information and Knowledge Management, CIKM 2021, November 1, 2021  -  November 5, 2021",,,,,"Deep learning has made extraordinary progress in the last few years, focusing on improving the accuracy and speed of standard deep learning benchmarks. Nevertheless, datasets in production environments are often messy, which makes data cleaning crucial for DNN model training and inference. Existing solutions that combine big data processing systems and deep learning systems to accomplish the data cleaning, DNN model training and inference are internally tied to one of Spark or Flink. However, Spark and Flink usually show different performance under batch and stream processing workloads. In order to employ Spark in batch training and Flink in streaming inference, existing solutions incur the burden of maintaining two data cleaning programs. In this demonstration, we showcase Beamer: an end-to-end deep learning framework for unifying the data cleaning program when employing Spark in training and Flink in inference, respectively.  2021 ACM.",2021,2022-06-10 02:09:03,2022-07-31 14:46:16,,4685-4689,,,,,,,"International Conference on Information and Knowledge Management, Proceedings",,,,Association for Computing Machinery,"Virtual, Online, Australia",,,,,,,,,,,http://dx.doi.org/10.1145/3459637.3481977,Batch data processing; Big data; Cleaning; Data handling; Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
T9NK2QMB,journalArticle,2021.0,"Lee, Ga Young; Alzamil, Lubna; Doskenov, Bakhtiyar; Termehchy, Arash",A survey on data cleaning methods for improved machine learning model performance,,,23318422,,,"Data cleaning is the initial stage of any machine learning project and is one of the most critical processes in data analysis. It is a critical step in ensuring that the dataset is devoid of incorrect or erroneous data. It can be done manually with data wrangling tools, or it can be completed automatically with a computer program. Data cleaning entails a slew of procedures that, once done, make the data ready for analysis. Given its significance in numerous fields, there is a growing interest in the development of efficient and effective data cleaning frameworks. In this survey, some of the most recent advancements of data cleaning approaches are examined for their effectiveness and the future research directions are suggested to close the gap in each of the methods[1].  2021, CC BY.",2021,2022-06-10 02:09:03,2022-07-31 01:43:14,,,,,,,,,arXiv,,,,,,,,,,,,,Publisher: arXiv,,,,Cleaning; Luminance; Machine learning; Surveys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
L6EH4K9A,conferencePaper,2021.0,"Ying, Zhangchi; Huang, Yuteng; Chen, Ke; Yu, Tianqi",Big Data Cleaning Model of Multi-Source Heterogeneous Power Grid Based on Machine Learning Classification Algorithm,"2021 International Conference on Energy, Power and Electrical Engineering, EPEE 2021, September 24, 2021  -  September 26, 2021",17426588,,10.1088/1742-6596/2087/1/012095,,"Aiming at the low cleaning rate of the traditional multi-source heterogeneous power grid big data cleaning model, a multi-source heterogeneous power grid big data cleaning model based on machine learning classification algorithm is designed. By capturing high-quality multi-source heterogeneous power grid big data, weight labeling of data source importance measurement, data attributes and tuples, and constructing Tan network based on the idea of machine learning classification algorithm, the data probability value is finally used to complete the classification and cleaning of inaccurate data. Experiments show that the model based on machine learning classification algorithm can effectively improve the imprecise data cleaning rate compared with the traditional model to solve multi-source heterogeneous imprecise data cleaning.  2021 Institute of Physics Publishing. All rights reserved.",2021,2022-06-10 02:09:04,2022-07-31 14:44:40,,,,,2087,,,,Journal of Physics: Conference Series,,,,IOP Publishing Ltd,"Jilin, Vrtual, China",,,,,,,,Issue: 1,,,http://dx.doi.org/10.1088/1742-6596/2087/1/012095,Big data; Classification (of information); Cleaning; Electric power transmission networks; Learning algorithms; Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
7V645QPY,journalArticle,2022.0,"Zhang, Zhichao; Yang, Zhoujun; Gao, Yuan; Zha, Xianqian; Jin, Ziyang; Luo, Qiang; Zheng, Wei; Zhao, Qing; Wang, Nengchao; Gao, Li; Pan, Yuan",Realization of automatic data cleaning and feedback conditioning for J-TEXT ECEI signals based on machine learning,Fusion Engineering and Design,,09203796,10.1016/j.fusengdes.2022.113065,,"In recent years, Electron Cyclotron Emission Imaging (ECEI) diagnostics and many other imaging diagnostics have become increasingly important in magnetic confinement fusion research. When the image quality becomes worse due to bad pixels, it becomes an important issue for imaging diagnostics. To automatically identify and classify abnormal ECEI signals, a classification algorithm for ECEI signals based on machine learning was developed for the J-TEXT ECEI diagnostic. Incorporated with the digital control function of J-TEXT ECEI, the channels of low-attenuation saturated signals and weak signals can be corrected by adjusting the attenuation levels. At present, the automatic data cleaning and feedback conditioning unit has been set up and applied to the J-TEXT ECEI. The accuracy rate of the classification algorithm on the external test dataset reaches 93.8%. Feedback conditioning can be completed between two discharge shots. This unit can preprocess the diagnostic data for physical analysis and improve the quality of ECEI signals.  2022",2022,2022-06-10 02:09:04,2022-07-31 15:13:08,,,,,177,,Fusion Engineering and Design,,,,,,,,,,,,,,,Publisher: Elsevier Ltd,,,http://dx.doi.org/10.1016/j.fusengdes.2022.113065,Cleaning; Machine learning; Classification (of information); Quality control; Feedback; Cyclotrons; Statistical tests; machine learning; data cleaning; Digital control systems; ECEI signals; Electron Cyclotron Emission Imaging (ECEI) diagnostics; feedback conditioning; diagnostics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
D5FJAUM9,journalArticle,2022.0,"Fang, Zhuoqun; Yang, Yuexin; Li, Zhaokui; Li, Wei; Chen, Yushi; Ma, Li; Du, Qian",Confident Learning-Based Domain Adaptation for Hyperspectral Image Classification,IEEE Transactions on Geoscience and Remote Sensing,,01962892,10.1109/TGRS.2022.3166817,,"Cross-domain hyperspectral image classification is one of the major challenges in remote sensing, especially for target domain data without labels. Recently, deep learning approaches have demonstrated effectiveness in domain adaptation. However, most of them leverage unlabeled target data only from a statistical perspective but neglect the analysis at the instance level. For better statistical alignment, existing approaches employ the entire unevaluated target data in an unsupervised manner, which may introduce noise and limit the discriminability of the neural networks. In this article, we propose confident learning-based domain adaptation (CLDA) to address the problem from a new perspective of data manipulation. To this end, a novel framework is presented to combine domain adaptation with confident learning (CL), where the former reduces the interdomain discrepancy and generates pseudo-labels for the target instances, from which the latter selects high-confidence target samples. Specifically, the confident learning part evaluates the confidence of each pseudo-labeled target sample based on the assigned labels and the predicted probabilities. Then, high-confidence target samples are selected as training data to increase the discriminative capacity of the neural networks. In addition, the domain adaptation part and the confident learning part are trained alternately to progressively increase the proportion of high-confidence labels in the target domain, thus further improving the accuracy of classification. Experimental results on four datasets demonstrate that the proposed CLDA method outperforms the state-of-the-art domain adaptation approaches. Our source code is available at http://github.com/Li-ZK/CLDA-2022.  2022 IEEE.",2022,2022-06-10 02:09:04,2022-07-31 02:45:24,,,,,60,,IEEE Transactions on Geoscience and Remote Sensing,,,,,,,,,,,,,,,Publisher: Institute of Electrical and Electronics Engineers Inc.,,,http://dx.doi.org/10.1109/TGRS.2022.3166817,Deep learning; Classification (of information); Neural networks; Feature extraction; Remote sensing; Spectroscopy; Classification; Training; Data models; Noise measurement; Adaptation models; Image classification; Hyperspectral imaging; confident learning (CL); domain adaptation; hyperspectral image (HSI); ALIGNMENT; CLASSIFIERS; PSEUDO LABELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
CZQDNH5H,conferencePaper,2019.0,"Gupta, Rahul; Kanade, Aditya; Shevade, Shirish",Deep reinforcement learning for syntactic error repair in student programs,"33rd AAAI Conference on Artificial Intelligence, AAAI 2019, 31st Annual Conference on Innovative Applications of Artificial Intelligence, IAAI 2019 and the 9th AAAI Symposium on Educational Advances in Artificial Intelligence, EAAI 2019, January 27, 2019  -  February 1, 2019",,,,,"Novice programmers often struggle with the formal syntax of programming languages. In the traditional classroom setting, they can make progress with the help of real time feedback from their instructors which is often impossible to get in the massive open online course (MOOC) setting. Syntactic error repair techniques have huge potential to assist them at scale. Towards this, we design a novel programming language correction framework amenable to reinforcement learning. The framework allows an agent to mimic human actions for text navigation and editing. We demonstrate that the agent can be trained through self-exploration directly from the raw input, that is, program text itself, without either supervision or any prior knowledge of the formal syntax of the programming language. We evaluate our technique on a publicly available dataset containing 6975 erroneous C programs with typographic errors, written by students during an introductory programming course. Our technique fixes 1699 (24.4%) programs completely and 1310 (18.8%) program partially, outperforming DeepFix, a state-of-the-art syntactic error repair technique, which uses a fully supervised neural machine translation approach.  2019, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",2019,2022-06-10 02:09:04,2022-07-31 14:18:01,,930-937,,,,,,,"33rd AAAI Conference on Artificial Intelligence, AAAI 2019, 31st Innovative Applications of Artificial Intelligence Conference, IAAI 2019 and the 9th AAAI Symposium on Educational Advances in Artificial Intelligence, EAAI 2019",,,,AAAI Press,"Honolulu, HI, United states",,,,,,,,,,,,C (programming language); Computer aided language translation; Deep learning; Errors; Program translators; Reinforcement learning; Repair; Students; Syntactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Z95KK835,conferencePaper,2021.0,"Dhola, Kaushik; Saradva, Mann",A comparative evaluation of traditional machine learning and deep learning classification techniques for sentiment analysis,"11th International Conference on Cloud Computing, Data Science and Engineering, Confluence 2021, January 28, 2021  -  January 29, 2021",,,10.1109/Confluence51648.2021.9377070,,"With the technological advancement in the field of digital transformation, the use of the internet and social media has increased immensely. Many people use these platforms to share their views, opinions and experiences. Analyzing such information is significant for any organization as it apprises the organization to understand the need of their customers. Sentiment analysis is an intelligible way to interpret the emotions from the textual information and it helps to determine whether that emotion is positive or negative. This paper outlines the data cleaning and data preparation process for sentiment analysis and presents experimental findings that demonstrates the comparative performance analysis of various classification algorithms. In this context, we have analyzed various machine learning techniques (Support Vector Machine, and Multinomial Naive Bayes) and deep learning techniques (Bidirectional Encoder Representations from Transformers, and Long Short-Term Memory) for sentiment analysis.  2021 IEEE",2021,2022-06-10 02:09:04,2022-07-30 21:37:12,,932-936,,,,,,,"Proceedings of the Confluence 2021: 11th International Conference on Cloud Computing, Data Science and Engineering",,,,Institute of Electrical and Electronics Engineers Inc.,"Virtual, Nodia, India",,,,,,,,,,,http://dx.doi.org/10.1109/Confluence51648.2021.9377070,Deep learning; Learning systems; Cloud computing; Support vector machines; Sentiment analysis; Social networking (online); Classification; Machine Learning; Organizations; Deep Learning; Sentiment Analysis; Natural Language Processing; Digital transformation; Performance analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
RJEBNDTR,journalArticle,2018.0,"Heo, Seok-Jae; Chunwei, Zhang; Yu, Eunjong","Response Simulation, Data Cleansing and Restoration of Dynamic and Static Measurements Based on Deep Learning Algorithms",International Journal of Concrete Structures and Materials,,19760485,10.1186/s40069-018-0316-x,,"In this study, an output-based neuro controller was built based on the idea of the adaptive neuro-fuzzy inference system (ANFIS) and its capabilities in response simulation, data cleansing and restoration capability were verified using measurement data from actual structural testing. The ANFIS is a family of the deep learning algorithm, which incorporates the benefits of adaptive control technique, artificial neural network, and the fuzzy inference system. Thus, it is expected to produce very accurate predictions even for the highly nonlinear system. Forced vibration responses of a five-story steel building were simulated by ANFIS and its accuracy was compared with the results of Recurrent Neural Network (RNN), which is a type of traditional artificial neural networks. Simulations by ANFIS were very accurate with a much lower root means square error (RMSE) than RNN. Simulated data by ANFIS showed an almost perfect match with the original. Even the small ripples in the power spectrum plot outside the dominant frequency were successfully reproduced. In addition, the ANFIS was used to increase the sampling rate of dynamic data. It was shown that missing high-frequency contents could be successfully reproduced when the ANFIS was properly trained. Lastly, The ANFIS was applied to remove the noise in the measured data from RC column cyclic load tests. The outliers were corrected effectively, but the tendency of flattening the peak values was observed.  2018, The Author(s).",2018,2022-06-10 02:09:04,2022-07-31 04:34:41,,,,1,12,,International Journal of Concrete Structures and Materials,,,,,,,,,,,,,,,Publisher: Korea Concrete Institute,,,http://dx.doi.org/10.1186/s40069-018-0316-x,Deep learning; Learning algorithms; Learning systems; Adaptive control systems; Artificial intelligence; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Inference engines; Load testing; Noise abatement; Recurrent neural networks; Restoration; deep learning; artificial intelligence; data cleansing; adaptive neuro-fuzzy inference system; CONTROL-SYSTEMS; data restoration; FUZZY-LOGIC; noise reduction; response simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
39QXETNH,journalArticle,2019.0,"Berti-Equille, Laure",Reinforcement learning for data cleaning and data preparation,"2019 Workshop on Human-In-the-Loop Data Analytics, HILDA 2019, co-located with SIGMOD 2019, July 5, 2019",,,,,"Data cleaning and data preparation have been long-standing challenges in data science to avoid incorrect results, biases, and misleading conclusions obtained from ""dirty"" data. For a given dataset and a given analytics task, a plethora of data preprocessing techniques and alternative data cleaning strategies are available, but they may lead to dramatically different outputs with unequal ML model quality performances. For adequate data preparation, the users generally do not know how to start or which methods to use. Most current work focus either on proposing new data cleaning algorithms -often specific to certain types of data glitches considered in isolation and generally with no ""pipeline vision"" of the whole data preprocessing sequence- or on developing automated machine learning approaches (AutoML) that can optimize the hyper-parameters of the given ML model but that often rely on by-default preprocessing methods. We argue that more efforts should be devoted to proposing a principled data preparation approach to help and learn from the users for selecting the optimal sequence of data curation tasks and obtain the best quality performance of the final result. In this abstract, we present Learn2Clean1, a method based on Q-Learning, a model-free reinforcement learning technique that selects, for a given dataset, a given ML model, and a quality performance metric, the optimal sequence of tasks for preprocessing the data such that the quality metric is maximized. Learn2Clean has been presented in The Web Conf 2019 [1] and we will discuss Learn2Clean enhancements for semi-automated data preparation guided by the user.  2019 Association for Computing Machinery.",2019,2022-06-10 02:09:05,2022-07-31 15:35:57,,ACM Special Interest Group on Management of Data (SIGMOD),,,,,,,Proceedings of the ACM SIGMOD International Conference on Management of Data,,,,,,,,,,,,,,,,,Automatic guided vehicles; Automation; Cleaning; Data curation; Data Science; Learning systems; Reinforcement learning; Technology transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
