Name,Relevant,Subject category,Datatype,Target,Abstract Note,Author,DOI,Item Type,Key,Publication Year,from,match
A framework for automatically cleansing overvoltage data measured from transmission and distribution systems,Specific,,,,"… Therefore, existing data cleansing methods are difficult to apply to … main idea is to build a neural network to extract … from data automatically, using an unsupervised deep learning strategy …","Sima, W; Zhang, H; Yang, M; Yuan, T; Sun, P; ...",,journalArticle,SQ9ZJ8T6,2018,,1
IPL WINNER PREDICTION USING ML ALGORITHMS,NO,,,,"… So, in this research, we use various supervised learning … examples of supervised techniques utilized in this research. … genuine values is known as data cleaning. The data sets gathered …","Ruchitha, M; Campus, JK; Jain, B; Savant, P",,journalArticle,I4LT5XAQ,0,,1
A generalizable speech emotion recognition model reveals depression and remission,NO,,,,"Objective Affective disorders are associated with atypical voice patterns; however, automated voice analyses suffer from small sample sizes and untested generalizability on external data. We investigated a generalizable approach to aid clinical evaluation of depression and remission from voice using transfer learning: We train machine learning models on easily accessible non-clinical datasets and test them on novel clinical data in a different language. Methods A Mixture of Experts machine learning model was trained to infer happy/sad emotional state using three publicly available emotional speech corpora in German and US English. We examined the model's predictive ability to classify the presence of depression on Danish speaking healthy controls (N = 42), patients with first-episode major depressive disorder (MDD) (N = 40), and the subset of the same patients who entered remission (N = 25) based on recorded clinical interviews. The model was evaluated on raw, de-noised, and speaker-diarized data. Results The model showed separation between healthy controls and depressed patients at the first visit, obtaining an AUC of 0.71. Further, speech from patients in remission was indistinguishable from that of the control group. Model predictions were stable throughout the interview, suggesting that 20-30 s of speech might be enough to accurately screen a patient. Background noise (but not speaker diarization) heavily impacted predictions. Conclusion A generalizable speech emotion recognition model can effectively reveal changes in speaker depressive states before and after remission in patients with MDD. Data collection settings and data cleaning are crucial when considering automated voice analysis for clinical purposes.","Hansen, L; Zhang, YP; Wolf, D; Sechidis, K; Ladegaard, N; Fusaroli, R",10.1111/acps.13388,journalArticle,EZRW4LZS,2022,,1
Training-ValueNet: A new approach for label cleaning on weakly-supervised datasets,YES,"DC4ML, ML4DC",any,label,… supervised label cleaning and outlier detection. Let us now briefly examine each approach in turn. Semi-supervised label cleaning … partial automation of the label cleaning process. The …,"Smyth, L",,book,U3FCC77F,2020,aug,1
Data augmentation for ml-driven data preparation and integration,NO,,,,"… Error detection is an essential step for data cleaning. Given a cell in a database, the goal of error detection is … Thus, it is natural to use machine learning for error detection by classifying …","Li, Y; Wang, X; Miao, Z; Tan, WC",10.14778/3476311.3476403,journalArticle,BNLVC4K7,2021,,1
Cause analysis of caesarian sections and application of machine learning methods for classification of birth data,NO,,,,… to observe the efficacy of supervised machine learning methods to … Sections and Application of Machine Learning Methods … after dimensionality reduction and data cleansing; 23 factors …,"Abbas, SA; Riaz, R; Kazmi, SZH; Rizvi, SS; ...",,journalArticle,8JLKLZQK,2018,,1
Prediction of Home Loan Status Eligibility using Machine Learning,NO,,,,"… issue machine learning … machine learning models, which results in less accuracy and affects the overall performance of the model. To reduce this issue the project uses a data cleaning …","Udhbav, M; Kumar, R; Kumar, N; Kumar, R; ...",,journalArticle,VH7JA6RV,2022,,1
"Sentiment Analysis of Indonesian Digital Payment Customer Satisfaction Towards GOPAY, DANA, and ShopeePay Using Naïve Bayes and K-Nearest Neighbour …",NO,,,,"… through several preparation stages, including data crawling, data cleaning, feature selection, and classification with two machine learning approaches (K-Nearest Neighbour and Naïve …","Maharani, AP; Triayudi, A",,journalArticle,ZQU3WR6G,2022,,1
Machine learning applications in urban building energy performance forecasting: A systematic review,NO,,,,… data and statistical and machine learning approaches can be … the applications of machine learning in building energy … data gets eliminated during data cleaning process; examples …,"Fathi, S; Srinivasan, R; Fenner, A; Fathi, S",,journalArticle,ZQ5BY5KR,2020,,1
Prediction Method of NO x from Power Station Boilers Based on Neural Network,NO,,,,"In the coal-fired power generation system, it is necessary to predict the NOx emissions of power station boilers when it comes to the step to spray ammonia to ensure that NOx emissions do not exceed national standards. Using traditional machine learning algorithms in the modeling of power station boilers will require features selection and steady-state extraction, which is not suitable for practical applications. In order to reduce the NOx prediction error rate under variable operating conditions, a multi-model fusion algorithm S3LX combined with linear regression, XGBoost, and long-short-Term memory recurrent neural network is proposed to model the NOx emission prediction of power station boilers. The preprocessing data scheme suitable for power station boiler data sets is proposed and implemented in this paper, which can perform numerical processing, data cleaning and data standardization for boiler's data and features. A 7-day historical operating data set of a unit in Guangzhou Shajiao C Power Plant was used as the training set and test set and was used to build the NOx emission prediction model after data preprocessing. Results show that compared with traditional machine learning algorithms, S3LX has good prediction ability under varying conditions with an average error of 4.28%. Compared with the average prediction error of the multi-layer perceptron 9.16%, SVM 7.37%, S3LX makes the error significantly reduced and satisfies the actual engineering demand.  2021 World Scientific Publishing Company.","Zhang, Yuzuo; Li, Yuanhao; Zhang, Xinyan; Zheng, Shijue",10.1142/S0218126621500973,journalArticle,R2AJZGBS,2021,,1
