,Name,Author's affiliation,venue name,Item Type,Publication Year,Subject category,Data type,task,Abstract Note,Author,Assignee,Relevant,DOI,Compared approaches,Dataset,Error type,Limitations and shortcomings,Model,"Performance (ML-wise e.g. accuracy, etc.)","Performance (engineering-wise e.g. time, memory, etc.)",Quality measurements,In SLR,Key,Personal comments,Q1,Q1.1,Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q1.7,Q2,Q2.1,Q2.2,Replication package link,from
0,Automated Detection of Label Errors in Semantic Segmentation Datasets via Deep Learning and Uncertainty Quantification,Academia,IEEE/CVF Winter Conference on Applications of Computer Vision,journalArticle,2022,ML4DC,img,mislabel correction,"… labels at its boundary, which makes label error detection on pixel level a complex task. For … We study the performance of our label error detection method on synthetic image data from …","Rottmann, M; Reese, M",PO,YES,,-,(1) CARLA + a bit of noise because CARLA is a simulator and it is not realistic to have 0 label error in training set (2) CityScape,-,-,"Deeplabv3+ [4] architecture with a WideResNet38 [40]
backbone, and Nvidia’s multi-scale attention approach [36]
in combination with an HRNet-OCR trunk",around 60 F1-Score on Cityscape dataset,-,"tp, fn, fp, prec, recall, f1",,WPBQEEIM,they simply used an uncertainty measure (a previous work) to send labels to be reviewed,0,,,,,,,,0,,,-,
1,READ: Aggregating Reconstruction Error into Out-of-distribution Detection,Academia,AAAI,journalArticle,2022,,,outliers detection,"Detecting out-of-distribution (OOD) samples is crucial to the safe deployment of a classifier in the real world. However, deep neural networks are known to be overconfident for abnormal data. Existing works directly design score function by mining the inconsistency from classifier for in-distribution (ID) and OOD. In this paper, we further complement this inconsistency with reconstruction error, based on the assumption that an autoencoder trained on ID data can not reconstruct OOD as well as ID. We propose a novel method, READ (Reconstruction Error Aggregated Detector), to unify inconsistencies from classifier and autoencoder. Specifically, the reconstruction error of raw pixels is transformed to latent space of classifier. We show that the transformed reconstruction error bridges the semantic gap and inherits detection performance from the original. Moreover, we propose an adjustment strategy to alleviate the overconfidence problem of autoencoder according to a fine-grained characterization of OOD data. Under two scenarios of pre-training and retraining, we respectively present two variants of our method, namely READ-MD (Mahalanobis Distance) only based on pre-trained classifier and READ-ED (Euclidean Distance) which retrains the classifier. Our methods do not require access to test time OOD data for fine-tuning hyperparameters. Finally, we demonstrate the effectiveness of the proposed methods through extensive comparisons with state-of-the-art OOD detection algorithms. On a CIFAR-10 pre-trained WideResNet, our method reduces the average FPR@95TPR by up to 9.8% compared with previous state-of-the-art.  2022, CC BY-NC-ND.","Jiang, Wenyu; Cheng, Hao; Chen, Mingcai; Feng, Shuai; Ge, Yuxin; Wang, Chongjun",PO,YES,10.48550/arXiv.2206.07459,G-ODIN-I / G-ODIN-C / G-ODIN-E,(1) SVHN (2) LSUN (3) Textures (4) Places365 (5) CIFAR-100 (6) TIN (7) LSUN (8) TIN (9) iSUN,-,-,NN and autoencoder,better,-,(1) AUROC (2) FPR@95TPR,,P78F43QV,-,12,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2,0.0,2.0,https://github.com/lygjwy/READ,
2,Annotation Error Detection: Analyzing the Past and Present for a More Coherent Future,Academia,Computational Linguistics,journalArticle,2022,"DC4ML, ML4DC",text,mislabel correction,"… Therefore, many automatic methods for annotation error detection (AED) have been devised over the years. These methods enable dataset creators and machine learning practitioners …","Klie, JC; Webber, B; Gurevych, I",,YES,"https://doi.org/10.48550/arXiv.2206.02280
10.1162/coli_a_00464","1. Variation-based (Variation n-grams, Label Entropy and Weighted Discrepancy)
2. Model-based (Re-tagging, ..)
3. Training Dynamics
4. Vector Space Proximity 
5. Ensembling
6. Rule-based","1. ATIS contains transcripts of user interactions with travel inquiry systems, annotated with intents and slots.
2. IMDb contains movie reviews labeled with sentiment.
3. SST The STANFORD SENTIMENT TREEBANK is a dataset for sentiment analysis of movie reviews from Rotten Tomatoes
4. GUM The GEORGETOWN UNIVERSITY MULTILAYER CORPUS is an open source corpus annotated with several layers from the Universal Dependencies project
5. Plank POS contains Twitter posts
6. CoNLL-2003
7. Slot Inconsistencies contains documents of three domains (COMPANIES, FOREX, FLIGHTS) that were annotated via crowdsourcing","Annotation Error 
Inconsistencies","Artificial errors (used clean datasets and injected random noise) which can lead to overestimate the ability of the detector.

Focuses on errors, inconsistencies, and ambiguities related to
instance labels, but not errors concerning tokenization, sentence splitting, or missing entities.",-,"The methods that worked best overall across tasks and datasets are Borda Count (BC), Diverse Ensemble (DE), Label Aggregation (LA), and Retag (RE).

Inconsistencies seems to be more difficult to detect for most methods, especially for model-based ones.",,"for Flagger tasks (binary classification): F1, precision, recall and percentage of flagged instances
for Scorers (liklihood or ranking): AP, precision@10% and recall @10% (Precision and recall at
10% evaluate a scenario in which a scorer was applied and the first 10% with the highest score—most likely to be incorrectly annotated—are manually corrected)",,P6D23SBS,This is more as empirical study rather than proposing new approach for cleaning data. They re-implement 18 methods for detecting potential annotation errors and evaluate them on 9 English datasets for text classification as well as token and span labeling,12,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2,1.0,1.0,https://github.com/UKPLab/nessie,
3,Complaint-Driven Training Data Debugging at Interactive Speeds,Academia,ACM SIGMOD,conferencePaper,2022,ML4DC,tabular,mislabel correction,"Modern databases support queries that perform model inference (inference queries). Although powerful and widely used, inference queries are susceptible to incorrect results if the model is biased due to training data errors. Recently, prior work Rain proposed complaint-driven data debugging which uses user-specified errors in the output of inference queries (Complaints) to rank erroneous training examples that most likely caused the complaint. This can help users better interpret results and debug training sets. Rain combined influence analysis from the ML literature with relaxed query provenance polynomials from the DB literature to approximate the derivative of complaints w.r.t. training examples. Although effective, the runtime is O(|T|d), where T and d are the training set and model sizes, due to its reliance on the model's second order derivatives (the Hessian). On a Wide Resnet Network (WRN) model with 1.5 million parameters, it takes 1 minute to debug a complaint. We observe that most complaint debugging costs are independent of the complaint, and that modern models are overparameterized. In response, Rain++ uses precomputation techniques, based on non-trivial insights unique to data debugging, to reduce debugging latencies to a constant factor independent of model size. We also develop optimizations when the queried database is known apriori, and for standing queries over streaming databases. Combining these optimizations in Rain++ ensures interactive debugging latencies (1ms) on models with millions of parameters.  2022 ACM.","Flokas, Lampros; Wu, Weiyuan; Liu, Yejia; Wang, Jiannan; Verma, Nakul; Wu, Eugene",PO,YES,10.1145/3514221.3517849,Rain (the initial implementation they want to improve the engineering performances),"(1) MNIST, (2) Fashion-MNIST,  (3) CIFAR-10, (4) SST-2, (5) ADULT",any,-,any,"even if it uses approximations, it provides similar results (sometimes better, sometimes worse)","10 times faster online, with some pre-computation required before","precision, recall, AUC of top-k, like in the initial paper",,X8C6K9G7,"the paper is only focussed on optimization, not really data-cleaning",12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,2.0,0.0,-,
4,A Study on How Data Quality Influences Machine Learning Predictability and Interpretability for Tabular Data,,,,2022,DC4ML,tabular,error detection/repair,… of data cleaning and feature engineering on the results of training Machine Learning models on … Few of the supervised Machine Learning methods discussed below are used to train the …,"Ahsan, H",PO,score too low,,,,,,,,,,,VPQ3CK4X,,0,,,,,,,,0,0.0,0.0,,
5,Can Foundation Models Wrangle Your Data?,Both,arxiv,journalArticle,2022,ML4DC,tabular,more-than-one,"… As a proof-of-concept, we cast three data cleaning and … achieve SoTA performance on data cleaning and integration tasks, … from data science and machine learning experts who have …","Narayan, A; Chami, I; Orr, L; Ré, C",PO,YES,,"“We compare against the SoTA methods for each task. For
entity matching, we benchmark against Ditto [46], the current SoTA
DL-based approach which finetunes BERT [28]. For data imputation,
we benchmark against IMP [60], which finetunes RoBERTa [52]
and HoloClean [71], a statistical-based SoTA data repairing engine.
Finally, for error detection, we compare against HoloClean and
HoloDetect [34], a data-augmentation based ML approach.”","entity matching: Magellan. imputation: Restaurants and Buy. error detection,: Hospital","duplicate removal, missing value, wrong value (error detection)",See paper summary for more details,GPT-3-175B parameter model (text-davinci-002) in the OpenAI API endpoint,"Entity linkage: better  half the time, data imputation and error detection: always better ",Adapting the model to the data task may take some time.,"“For both the error detection and entity match-
ing datasets, we evaluate performance using F1 score. For imputa-
tion, we evaluate performance using accuracy.”",YES,NIGFJBI6,-,14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,2.0,2.0,https://github.com/HazyResearch/fm_data_tasks,
6,Graph-Based Unsupervised Entity Resolution for Identifying Entity Profiles in Ambiguous Data,Academia,proquest,journalArticle,2022,ML4DC,tabular,entity matching / duplicate removal,"… On the other hand, machine learning and deep learning methods are … data cleaning, curation, and integration has become the goal for many organizations. Accordingly, unsupervised …","Ebeid, IA",PO,score too low - 2,,,,,,,,,,,EPJPYJAB,,0,,,,,,,,0,0.0,0.0,,
7,Sudowoodo: Contrastive Self-supervised Learning for Multi-purpose Data Integration and Preparation,Both,arxiv,journalArticle,2022,ML4DC,tabular,more-than-one,"… For data cleaning, we combine the error detection and correction stages and evaluate the quality of the final corrections. We also conduct a case study of column semantic type …","Wang, R; Li, Y; Wang, J",PO,YES,,(1) Baran+ Raha (2) Perfect error detection + Baran (3) Sudowoodo without pretraining of embeddings,(1) beers (2) hospital (3) rayyan (4) tax,any,-,a few ones. transformers are a key component.,Better than Baran with perfect ED by 2.1% on average!,-,F1-score of correct repairs,,A8N4FHG4,"The paper is not so clear, but the tool shows the author has significant ML skills.",12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,0.0,2.0,-,
8,Comparing Methods of Imputation for Time Series Missing Values,,,conferencePaper,2022,DC4ML,tabular,imputation,"Due to the rapid development of modern information engineering, a lot of data are used in machine learning and data cleaning and data mining of the hot research fields, such as a large portion of the data algorithm and related data model are built for complete data set, But in our real life and work, the absence of data exists in a large number of data collection, collation, transmission, storage and other links, it causes many obstacles and difficulties to build a model for complete data. The general way of dealing with missing values for simple delete, that deal with missing value method is a simple convenient but can cause: two aspects of the problem and the inconvenience caused by the original data set to reduce, reduce the reliability of the data, especially in the case of data loss is bigger, can cause a large number of data sets to reduce and missing, This has caused a lot of trouble to our work and research, so we need to find a more efficient and better method than direct deletion. In order to better solve the above problems, we mainly fill in the missing values of time series data, which has become an urgent problem to be solved. In this paper, mean filling, median filling, mode filling, PCA-EM filling and other methods are used to fill traffic data. By comparing these methods, the filling effect of each method is evaluated.  2022, ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering.","Geng, Renkang; Li, Mingran; Sun, Mingxu; Wang, Yujie",PO,Not accessible,10.1007/978-3-030-94182-6_24,,,,,,,,,,ZLQBSW7P,,0,,,,,,,,0,,,,
9,"Kern: A Labeling Environment forLarge-Scale, High-Quality Training Data",,,journalArticle,2022,ML4DC,any,mislabel correction,"The lack of large-scale, high-quality training data is a significant bottleneck in supervised learning. We introduce kern, a labeling environment used by machine learning experts and subject matter experts to create training data and find manual labeling errors powered by weak supervision, active transfer learning, and confident learning. We explain the current workflow and system overview and showcase the benefits of our system in an intent classification experiment, where we reduce the labeling error rate of a given dataset by an absolute 4.9% while improving the F 1 score of a baseline classifier by a total of 9.7%.  2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Hotter, Johannes; Wenck, Henrik; Feuerpfeil, Moritz; Witzke, Simon",PO,Not accessible,10.1007/978-3-031-08473-7_46,,,,,,,,,,GHS3HN7M,,0,,,,,,,,0,,,,
